"","V1","V2","V3","V4","V5","V6","V7"
"1662661",6,12,13,14,15,26,28
"1603567",6,8,12,13,14,26,28
"1663081",6,12,13,14,23,26,28
"1662896",6,12,13,14,18,26,28
"1408988",5,6,12,13,14,26,28
"1231888",4,6,12,13,14,26,28
"1663119",6,12,13,14,26,28,30
"1663032",6,12,13,14,21,26,28
"1663096",6,12,13,14,24,26,28
"1639420",6,10,12,13,14,26,28
"1663118",6,12,13,14,26,28,29
"1662830",6,12,13,14,17,26,28
"1665271",6,12,14,15,20,26,28
"1604567",6,8,12,14,20,26,28
"1666511",6,12,14,20,23,26,28
"1666141",6,12,14,18,20,26,28
"1666549",6,12,14,20,26,28,30
"1624581",6,9,12,14,15,26,28
"1666462",6,12,14,20,21,26,28
"1666526",6,12,14,20,24,26,28
